time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
43.82,8.32263,0.000393191,-0.0102734,0.629363,0.00309761,0.000113492,0.0913629,0.00405607,0.0282749,-1701.6,1565.19
40.64,13.8782,0.000593516,-0.00047383,6.25474,-2.84047e-05,0.000650236,0.121746,0.00476017,0.0380004,-3991.09,2984.03
23.44,5.55209,0.000639228,-0.00408316,2.04186,0.000916308,4.61623e-05,0.236214,0.00331813,0.0741929,-3016.88,2208.16
37.12,5.57126,0.0346813,-0.00205253,258.61,-0.00473373,0.0345101,0.884636,-0.0316226,0.271019,3525.76,4830.49
37.61,8.33543,0.000551204,-0.00625592,2.4699,-0.00155346,0.000127334,0.679687,-0.00121988,0.212628,-2379.34,6289.24
29.49,13.8925,-0.0039496,0.0113624,13.0156,-0.00703182,0.000284585,0.679905,0.000735464,0.212839,-6083.97,6270.52
12.85,5.54739,0.000450971,-0.00470771,0.184377,0.000900453,-2.66651e-05,0.13921,-0.000962689,0.0431905,859.544,926.513
86.85,5.54483,0.00030594,-0.00246141,0.191949,0.00200386,0.000120363,0.152715,-0.00289613,0.047435,-234.562,1484.33
19.12,8.34462,0.000399219,-0.00997671,2.96312,0.00299501,0.000579089,0.832919,-0.00354621,0.264061,131.91,5103.52
19.05,13.9043,-0.00328767,-0.00412627,21.95,-0.0032893,0.00102068,0.701234,-0.00114079,0.219618,-6263.15,6864.49
14.35,8.32747,0.000561849,-0.00759669,0.650136,0.00101784,-0.00053849,0.266336,0.00187216,0.0828211,-1833.46,121.558
7.02,5.551,0.000626402,0.00150619,0.211442,0.000183562,-0.000146966,0.088867,-0.00100029,0.0276762,1095.03,-2.21568
34.71,13.879,0.000228546,-0.001853,31.8664,0.000412213,0.000612926,0.926585,0.000676607,0.292823,-3874.17,805.714
53.19,5.52498,-0.0205441,0.000424269,291.804,0.00581784,-0.0441295,-0.0264475,0.043038,0.00428655,-2099.23,-5953.97
81.35,5.54982,-0.00103546,0.00860166,0.0800066,-0.0037272,8.47765e-05,0.032178,0.0039799,0.0109986,321.041,765.49
38.81,8.33049,-0.000679901,0.00275676,33.1346,-0.00175493,0.00197391,0.79162,0.000176814,0.248894,-5392.93,4057.38
63.01,5.54495,0.00270359,-0.0179645,2.42399,0.00388105,0.000283279,0.166316,0.00163431,0.0515777,-2684.95,2214.37
82.24,5.55106,0.000359712,-0.0109006,17.4369,0.00357914,0.000648256,0.742752,0.00152977,0.233125,-5683.26,5499.01
6.64,13.9874,-5.06174e-05,-0.00437808,3.54237,-0.000333198,0.00057052,0.164126,0.00104843,0.0508995,-2590.2,2718.98
